S.No.,Department,Scheme Code,Scheme Name,Assistance,Eligibility,Scope,Funding,Contact Point
56,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-AKSVY-UP,Aatma Nirbhar Krishak Samnvita Vikas Yojna ,"(1) Support for formation and promotion of FPOs beyond the central scheme allocations
(2) Management / handholding support through empanelled CBBOs similar to 10k FPO scheme.
(3) State-level budget for:
(a) Capacity-building, business plan preparation and market linkages.
(b) Support for infrastructure and working capital","(1) Farmer groups organised into FPOs/Producer Companies/Cooperatives in clusters identified by GoUP/UPDASP.
(2) Focus on small & marginal farmers and commodities important for state diversification (pulses, oilseeds, horticulture, dairy, fisheries etc.).",STATE,100% UPGOV,Chief Development Officer (CDO)
57,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-AGREES-UP,Uttar Pradesh Agriculture Growth and Rural Enterprise Ecosystem Strengthening Project,"(1) To increase farmers’ income through improved crop productivity, climate resilience, and commercialization of agrifood systems in selected regions of state i.e. 28 districts across Jhansi, Chitrakoot, Vindhyachal, Varanasi, Gorakhpur, Azamgarh, Basti, and Devipatan divisions.
(2) Improve climate-resilient productivity of key crops (rice, wheat, maize, gram, mustard, etc.) in the project districts.
(3) Develop competitive, inclusive value chains for prioritized commodities (crops, horticulture, livestock, fisheries) through clusters and agribusiness investments.
(4) Strengthen digital and financial ecosystems (Agri-stack, UP AGRIVERSE, digital KCC / credit, AIF-type funds) for farmers, FPOs and agri-MSMEs.
(5) Leverage private capital for agrifood MSMEs and value-chain investments.
(6) Enhance institutional capacity of GoUP, UPDASP and district systems for climate-smart agriculture, value-chain development, and monitoring / learning.","(1) Primary beneficiary:
(a)	Small and marginal farmers, including women farmers and tenant / sharecroppers where allowed by project rules.
(b)	Farmer Producer Groups (FPGs) and Farmer Producer Organisations (FPOs / FPCs).
(c)	Fishers and fish farmers in project blocks (for fisheries and aquaculture sub-projects).
(d)	Agri-MSMEs and start-ups in input, post-harvest, processing, logistics and services.
(e)	Women-led and youth-led enterprises in agrifood systems.
(2) Secondary beneficiary:
(a)	Farmer families accessing improved digital services (advisory, scheme access, grievance, etc.).
(b)	Banks, NBFCs, MFIs participating in the digital credit and AIF platforms.
(c)	Research / technical agencies (SAUs, ICAR institutes, KVKs) partnering for climate-resilient practices.
(3) Broad eligibility criteria:
(a)	The farmer / group / enterprise must be located in a notified project district / block and within a project commodity cluster, where applicable.
(b)	The farmer should be registered in the state’s agriculture database / UP AGRIVERSE (once operational) with valid Aadhaar-linked bank account and land / lease details, as per project guidelines.
(c)	FPGs / FPOs / SHGs / CLFs / cooperatives must be legally registered entities (Societies / Producer Companies / Cooperatives, etc.) and comply with UPAGREES eligibility norms for each component (e.g., minimum member base, audited accounts, business plan).
(d)	Agri-MSMEs must meet GoI/GoUP MSME definition, operate in the agrifood value chain, and satisfy the credit and due-diligence requirements of the AIF / bank / fund manager.
(e)	Beneficiaries must agree to follow environmental and social safeguards, including land, water and biodiversity norms prescribed in the ESMF / ESMP.",STATE,100% UPGOV,Chief Development Officer (CDO)
58,RURAL ENGINEERING,RUENG-JJM,Jal Jeevan Mission,"(1) Financial support from Government of India for creation of village water supply infrastructure such as source development/augmentation, water treatment units, overhead tanks, pumping systems, distribution pipelines, and household tap connections.
(2) Support for greywater management, source sustainability (rainwater harvesting, recharge structures), and water quality surveillance including field test kits and laboratories. 
(3) Capacity building and IEC (Information, Education & Communication) for behaviour change, community mobilisation, and training of Village Water & Sanitation Committees (VWSCs)/Pani Samitis, engineers, and local masons/plumbers.","(1) All rural households (HHs) in all villages of India are eligible for Functional Household Tap Connections under JJM, with special focus on aspirational districts, quality affected habitations (e.g. arsenic/fluoride), drought prone, desert, tribal and difficult areas.
(2) Priority sequencing generally covers existing uncovered/partially covered households, households in quality affected and vulnerable areas, and institutions like schools, anganwadis, health centres, Gram Panchayat buildings, etc.
(3) There is no income-based exclusion at household level. However, schemes are planned at village/habitation level and implemented in a phased manner as per State Annual Action Plans.",CENTRAL,100% GOI,District Water & Sanitation Mission (DWSM) office
59,YUVA KALYAN AND PRANTIYA RAKSHAK DAL ,YKPRD-RSPDP-UP,Rural Sports & Physical Development Programme,"(1) Supply of sports equipment (kabaddi, volleyball, football, athletics kits etc.) to youth clubs named as Mahila Mangal Dal and Yuvak Mangal Dal.
(2) Organisation of rural sports meets, block/district tournaments.","(1) Rural youth (both boys and girls) aged roughly 15–35 years.
(2) Registered youth clubs at gram Panchayat level- i.e. Yuvak Mangal Dal and Mahila Mangal Dal.",STATE,100% UPGOV,District Youth Welfare & PRD Office 
60,YUVA KALYAN AND PRANTIYA RAKSHAK DAL ,YKPRD-YCSDA-UP,Youth Cultural & Social Development Activities,"(1) Organisation of youth cultural events (music, drama, folk arts), debate/essay competitions, and awareness rallies at village, block and district level.
(2) Youth camps/seminar covering life skills, health, environment, cleanliness, gender equality, and drug de-addiction themes.
(3) Support to registered youth clubs for small social action projects (plantation drives, Swachhata campaigns, blood donation and disaster response volunteering).
(4) To encourage Mangal Dals doing commendable works Block Level Vivekanad Youth Award and cash prize Rs. 5,000/- is given to one Mangal Dal in each block.
(5) District level Vivekanad Youth Award and cash prize Rs. 20,000/- is given to one Yuvak Mangal Dal and one Mahila Mangal Dal.
(6) Mangal Dals and Individual Youths doing commendable works are recommended for State Level Vivekanad Youth Award.
(7) District Youth Festival is organised to provide platform to Youth for cultural events like Folk Song, Folk Dance and life skill events like story writing, Poetry, Painting, Declamation and innovative scientific thoughts and Models.","(1) Youths (15-35 years), with emphasis on non-students and students, OBC/SC/ST youth, and young women.
(2) Registered youth clubs- Mahila/Yuva Mangal Dals.",STATE,100% UPGOV,District/Regional Youth welfare Officer
61,YUVA KALYAN AND PRANTIYA RAKSHAK DAL ,YKPRD-PRD-UP,Prantiya Rakshak Dal (PRD) Volunteer Engagement Programme,"(1) Enrolment of eligible rural youth as PRD jawans with basic training in drill, disaster response, traffic control, and crowd management.
(2) Deployment of PRD platoons for support duties at Government offices, educational institutions, events, elections, tourism spots and in disaster relief operations.
(3) PRD volunteers receive a fixed daily honorarium as per Muster roll.
(4) Limited welfare measures such as insurance cover through Banks/compensation in case of on duty incidents, as per latest state orders.","Rural and semi urban youth (typically 18-45 years) with basic physical fitness and minimum educational qualification (often class 10 or 12, as per current rules).",STATE,100% UPGOV,District/Regional Youth welfare Officer
62,DIRECTORATE OF AGRICULTURAL MARKETING & AGRICULTURE FOREIGN TRADE,DAMAFT-AMI-UP,Agricultural Marketing Intelligence & e NAM (Market Information + Online Trading),"(1) 211 Marketing Intelligence Centres across 251 regulated mandis and 371 sub mandis in UP collect daily data on arrivals, wholesale prices, stocks and movement.
(2) Daily and weekly wholesale prices are sent to All India Radio and Doordarshan. Analytical reports (weekly/fortnightly/monthly) are shared with State and Central departments for policy.
(3) Computerisation of 242 mandi nodes under AGMARKNET with NIC support; data from all revenue districts and key market centres is uploaded to www.agmarknet.nic.in 
(4) Farmers can see which market is offering better prices and decide where to sell.
(5) Integration with e NAM: 162 mandis of UP linked to www.enam.gov.in, where electronic auction and online bidding take place.","(1) All farmers, FPOs and traders using UP mandis can use price/arrival information (no formal registration needed).
(2) For e NAM trading, farmer/FPO/trader must register on the e NAM portal or through the local mandi.",STATE,100% UPGOV,Mandi Secretary / Senior Agriculture Marketing Inspector
63,DIRECTORATE OF AGRICULTURAL MARKETING & AGRICULTURE FOREIGN TRADE,DAMAFT-AGQM-UP,"Assaying, Grading & Quality Management (including AGMARK & e NAM Labs)","(1) Grading units established in selected mandis (125 e-NAM mandis doing grading of ~247 commodities as per DMI’s tradable parameters).
(2) Assaying laboratories set up in 125 e-NAM mandis; Directorate has appointed trained assaying inspectors (trained by Government of India’s Directorate of Marketing & Inspection).
(3) In e-NAM:
(a) Mandi staff create lots from arriving produce.
(b) Assaying inspector draws samples as per protocol and determines grade in the lab.
(c) Grade and parameters are uploaded in the system. Buyers anywhere can see quality details before bidding.
(4) AGMARK grading for consumer level products:
(a) “AGMARK” is a quality mark for items like wheat flour, maida, suji, pulses, spices, ghee, oils, honey, tamarind, fruits, eggs etc.
(b) State AGMARK laboratories established in selected districts to expand grading and protect consumers against adulteration.","(1) Farmers and traders bringing produce to e NAM mandis automatically covered for grading/assaying.
(2) Packers/processors who seek AGMARK grading and certification for retail products apply through DMI and state labs.",STATE,100% UPGOV,District level AGMARK Lab (where available) and Marketing Officer
64,DIRECTORATE OF AGRICULTURAL MARKETING & AGRICULTURE FOREIGN TRADE,DAMAFT-UPAEP-UP,Uttar Pradesh Agriculture Export Policy 2019 & Export Promotion Schemes,"(1) Additional incentives for export-oriented clusters – support to identified product clusters (e.g. rice, mango, etc.) for infrastructure, branding and market linkages.
(2) Incentives for new processing units near clusters – export-based incentives for new processing units established near export clusters.
(3) Transport subsidy for export of agricultural and processed products – partial reimbursement of transport cost to make exports competitive (policy para 6.2.3.2). 
(4) Support to institutions offering degree/diploma/certificate courses in agri export, post-harvest management and technology – to build human resource base for export.","(1) Processing units, cluster based FPOs and agri businesses registered in Uttar Pradesh. 
(2) Institutions running approved export related courses, as notified.",STATE,100% UPGOV,Export Promotion Bureau (EPB) nodal officer
65,NAMAMI GANGE,NAMAMI-GANGE,Namami Gange,"(1) Coordinates planning and implementation of Namami Gange projects in Uttar Pradesh (Sewerage, Ghats and Crematoria, Afforestation, E-Flows, Aquatic Biodiversity Conservation, IEC, etc.) through line departments and specialised agencies.
(2) Provides a state level project management set up (project directors, technical and administrative staff) for preparation, appraisal, tendering and monitoring of works. Recruitment of staff is on deputation/contract and procurement of services and materials (e.g., Ghat cleaning, Branding, office support) are carried out through SMCG UP.","Namami Gange is not a direct beneficiary subsidy scheme; benefits flow indirectly to:
(1) Residents of Ganga basin cities and villages in Uttar Pradesh through improved river water quality, sewerage and sanitation infrastructure, ghats and public amenities.
(2) Pilgrims, devotees and visitors using developed and well-kept ghats.
(3) Improved cremation facilities created or upgraded",CENTRAL,100% GOI,"Office of Chairman, District Ganga Committee"
66,PANCHAYATI RAJ INSTITUTIONS,PRI-RGSA-UP,Rashtriya Gram Swaraj Abhiyan ,"(1) Training and hand holding of elected representatives and staff (induction, thematic and refresher trainings).
(2) Support for Panchayat Bhawan, basic IT infrastructure and e governance (computers, internet, MIS).
(3) Development of resource persons at state, district and block levels.
(4) Support for participatory planning, convergence and localisation of SDGs.","(1) All constitutionally constituted PRIs (GP, KP, ZP) in UP are institutional beneficiaries.
(2) Elected representatives and Panchayat functionaries are direct human resource beneficiaries.",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
67,PANCHAYATI RAJ INSTITUTIONS,PRI-FCGP-UP,Finance Commission Grants to Panchayats (Central & State),"(1) Tied grants for specific sectors (e.g., drinking water and sanitation under 15th FC).
(2) Untied grants for local priorities decided by Panchayats within guidelines.
(3) Online Finance Commission portal with allocation, release and utilisation tracking.","All PRIs that meet basic conditions (e.g., regular Gram Sabha, accounts, audits) receive formula-based shares as per FC recommendations and state government orders.",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
68,PANCHAYATI RAJ INSTITUTIONS,PRI-GPDP-UP,Gram Panchayat Development Plan (GPDP),"(1) State GPDP guidelines, formats and handbooks for Panchayats.
(2) Training and hand holding support for Panchayat representatives and functionaries through RGSA.
(3) Online tools (E- Gram Swaraj, Panchayat Nirnay, GPDP dashboards) to enter and monitor plans and works.",All Gram Panchayats in Uttar Pradesh are required and eligible to prepare GPDPs; all residents of the GP are indirect beneficiaries through better planned local development.,STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
69,PANCHAYATI RAJ INSTITUTIONS,PRI-PBSC-UP,Panchayat Bhawan Construction Scheme,"(1) Financial assistance for construction of a standard Panchayat Bhawan building.
(2) As per the state portal, the current approved cost norm is about ₹17.46 lakh per Panchayat Bhawan; the building typically includes: one meeting hall, two office rooms, staff accommodation, verandah and toilet block.
(3) In selected cases, additional support may be accessed under RGSA for Panchayat infrastructure and co-location of Common Service Centres (CSCs) in GP Bhawans, subject to approved proposals.","(1) Gram Panchayats in Uttar Pradesh that do not yet have a functional Panchayat Bhawan or require construction as per approved criteria.
(2) Land for the building should be available and free from dispute, as per state government orders; where land is not available, the district may be authorised to purchase land following state procedures.",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
70,PANCHAYATI RAJ INSTITUTIONS,PRI-SWB-G-UP,Swachchha Bharat Mission - Gramin,"(1) Individual Household Latrine (IHHL) Incentive: Central incentive of ₹12,000 per eligible rural household for constructing toilets, with flexibility for additional State share. Eligible categories include BPL and specified poor APL households (SC/ST, small/marginal farmers, landless labourers with homestead, persons with disabilities, women headed households).
(2) Community Sanitary Complexes (CSCs): Financial assistance to Gram Panchayats for constructing and maintaining CSCs where household toilets are difficult (e.g., land constraints, public places). 
(3) SLWM Infrastructure: Support for village level systems such as compost pits, soak pits, drainage, waste collection and treatment infrastructure, including faecal sludge treatment where applicable, to achieve ODF Plus status. 
(4) IEC & Capacity Building: Funds for Information Education Communication (IEC), Behaviour Change Communication (BCC), triggering exercises, and training of Swachhagrahis, VWSCs and PRI representatives.","(1) Household level: Rural households without toilets or with unusable toilets; priority to BPL and identified poor APL categories as defined in SBM G guidelines.
(2) Gram panchayat level: All Gram Panchayats in rural Uttar Pradesh are eligible for SBM G support for becoming and sustaining ODF/ODF Plus, including CSCs and SLWM assets",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
71,PANCHAYATI RAJ INSTITUTIONS,PRI-MPPP-UP,Mukhyamantri Panchayat Protsahan Puraskar,"(1) Annual cash awards and citation to selected Gram Panchayats; the number of GPs and award amount per GP are decided each year by the State level committee based on the budget provision. 
(2) Additional non-financial recognition (state level felicitation, publicity, and role model status) to promote replication of best practices. ","(1) All Gram Panchayats of Uttar Pradesh are potentially eligible, subject to:
(a) Completion of the online self-assessment questionnaire within the stipulated time on the CM Award portal.
(b) Securing at least the minimum qualifying score (e.g., 60% of marks, as per current questionnaire guidelines).
(c) Successful verification through district and state level performance assessment committees, including field verification.
(2) The detailed eligibility parameters are embedded in the theme-based questionnaire (e.g., GP governance, planning, service delivery, inclusion, financial management, innovation).",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
72,PANCHAYATI RAJ INSTITUTIONS,PRI-GASVY-UP,Grameen Antyeshti Sthal Vikas Yojana,"(1) Unit cost: ₹24.36 lakh per antyeshti sthal.
(2) Minimum land requirement: 1,750 square metres per site.
(3) Works included at each site:
(a) Cremation platform(s).
(b) Toilet and bathing facilities.
(c) “Shanti Sthal” (quiet/sitting area for relatives).
(d) Handpump / drinking water facility.
(e) Firewood storage/covered store and basic site development (pathways, boundary as per design).
(2) The scheme has a cumulative physical target of 6,102 antyeshti sthals, of which 5,239 have been completed so far. For 2025 26, the target is 1,000 sites with an allocation of ₹24,360 lakh. ","(1) Location: Rural areas of Uttar Pradesh under Gram Panchayats.
(2) Selection of sites:
(a) Gram Panchayats identify suitable land (government or undisputed community land) of at least 1,750 sq m through Gram Sabha resolution and propose it via block office.
(b) Priority is given to villages/GPs where no organised cremation/burial facility exists or existing facilities are highly inadequate.
(3) Direct individual beneficiaries are not defined. Entire rural communities using the developed Antyeshti Sthal benefit from the scheme.",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
73,PANCHAYATI RAJ INSTITUTIONS,PRI-PDUPSP-UP,Pandit Deendayal Upadhyay Panchayat Sashaktikaran Puraskar,"(1) Award money and citation to best performing Panchayats, in addition to recognition at national functions (National Panchayati Raj Day).
(2) In the initial years in Uttar Pradesh (2011-12 and 2012-13), the following award amounts were provided per selected Panchayat:
(a) Gram Panchayat: ₹7 lakh (later enhanced to ₹9 lakh).
(b) Kshetra Panchayat (Block): ₹15 lakh (later enhanced to ₹20 lakh).
(c) Zila Panchayat (District): ₹25 lakh (later enhanced to ₹40 lakh). ","(1) All Gram Panchayats, Kshetra Panchayats and Zila Panchayats are potential beneficiaries, subject to meeting performance standards notified by the Ministry of Panchayati Raj and adopted by the State.
(2) Evaluation is based on information provided by Panchayats on their performance in the reference year (e.g., previous financial year), verified by State and Ministry as per award guidelines.",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
74,PANCHAYATI RAJ INSTITUTIONS,PRI-MY-UP,Maatrubhumi Yojana,"(1) Fund construction or renovation of school rooms, libraries, community halls, sports complexes, and Anganwadi centers.
(2) Support installation of solar lights, CCTV, water systems, and waste management.
(3) Contribute to beautification of ponds and public spaces.","(1) Individuals: Permanent residents of Uttar Pradesh, including those living outside the state or abroad (NRI/PIO).
(2) Contribution: The applicant must fund 60% of the total project cost, with the state government bearing the other 40%.",STATE,100% UPGOV,"District Panchayat Raj Officer (DPRO), District Nodal Officer RGSA"
75,MINOR IRRIGATION,MI-MLSY-UP,Mukhyamantri Laghu Sinchai Yojana,"(1) Technical and financial assistance for creation of new irrigation borings/tubewells of approved depths (e.g., shallow and medium deep) under the scheme. 
(2) Department provides boring services through empanelled agencies/departmental machinery and extends subsidy/assistance as per sanctioned unit cost and farmer category (e.g., higher benefit for small, marginal, SC/ST farmers). 
(3) Scheme is implemented through online application, selection and monitoring via MIU Online, improving transparency and time bound processing.","(1) Eligible beneficiaries: Farmers of Uttar Pradesh owning cultivable land in notified blocks and fulfilling eligibility conditions (with prioritisation typically for small/marginal farmers; some districts separately list SC/ST or land holding criteria).
(2) Land and technical conditions: Sufficient land available for siting a boring/tubewell as per departmental spacing and safety norms. Site lies in a block/area permitted for new groundwater structures as per departmental and groundwater regulations.",STATE,100% UPGOV,"Executive Engineer / District Minor Irrigation Officer (DMI/EE, Minor Irrigation)"
76,MINOR IRRIGATION,MI-FBY-UP,Free Boring Yojana,"(1) Department undertakes boring up to a prescribed depth (e.g., 110 mm dia up to about 30 m for shallow wells) at no cost to the eligible farmer; cost is borne from the scheme budget.
(2) In some districts, a per boring financial ceiling is notified (e.g., assistance up to ₹10,000 per boring for eligible SC BPL small/marginal farmers in plain areas).
(3) Materials and technical services (boring labour, casing, etc.) are provided as per departmental specifications; farmers arrange pump sets and ancillary works beyond the scheme scope.","(1) Eligibility conditions are defined in state level guidelines and implemented uniformly, with district level notices giving details. Common elements are:
(a) Category: Small and marginal farmers, with special focus on Scheduled Caste families living below poverty line in plain areas; some GOs extend coverage to other poor small/marginal farmers as notified.
(b) Land holding: Minimum cultivable land (often 0.2 ha for general small/marginal farmers; this minimum may not apply to SC/ST small/marginal farmers as per guideline extract).
(c) Location conditions: Site should satisfy groundwater siting norms (e.g., minimum distance from existing borewells, block not in critical/over exploited category as per state orders).",STATE,100% UPGOV,"Executive Engineer / District Minor Irrigation Officer (DMI/EE, Minor Irrigation)"
77,SERICULTURE,SERI-SILK-SAMAGRA-2,SILK SAMAGRA–2: Integrated Scheme for Development of Silk Industry (2021–2026),"The scheme offers comprehensive, multi-level support to farmers, SHGs, FPOs, reelers, and silk workers.
(1) Financial Assistance
(a) Subsidy for Rearing Sheds
(a.1) Up to 80% subsidy depending on category
(a.2) SC/ST beneficiaries get higher subsidy (up to 90%)
(2) Subsidy for Mulberry Plantation
(a) Support for land preparation, saplings, irrigation, inputs.
(3) Equipment Subsidy
(a) Rearing kits, mountages, disinfectants, tools, reeling equipment.
(4) Support for Chawki Rearing Centres (CRCs)
(a) Low-cost chawki silkworm supply to farmers.
(5) Credit-Linked Incentives
(a) Loan + subsidy combination for sheds, plantations, machines.
(6) Technical Assistance
(a) Training in mulberry cultivation, silkworm rearing, disease management, grainage operations.
(b) Quality improvement support (grading, testing, certification).
(c) Support from CSB scientists, district officers, and master trainers.
(6) Infrastructure Support
(a) 50,000 new rearing sheds
(b) 200 new CRCs
(c) Modernization of 500 grainages
(d) New quality and testing labs
(e) Improved reeling units & post-cocoon technology
(7) Women Empowerment Support
(a) Through Resham Sakhi Yojana:
(a.1) 100% free residential training
(a.2) 80% subsidy on rearing kits
(a.3) Home-based rearing opportunities
(a.4) Market linkage and group formation
(8) Market and Digital Support
(a) Access to cocoon markets, aggregators, and online auction platforms.
(b) SILKS 2.0 portal for real-time tracking.
(c) AI-based disease alerts and advisory.","(1) Who can apply?
(a) Farmers
(a.1) Mulberry, Tasar, Eri, or Muga farmers
(a.2) Land-owning, tenant, or lease-holding farmers
(a.3) Priority to marginal farmers (up to 2 acres)
(2) SC/ST Communities
(a) Minimum 30% reservation in all components
(b) Additional subsidy support
(3) Women / SHGs / NRLM Groups
(a) Women interested in home-based silk activities
(b) Eligible for Resham Sakhi training and support
(4) FPOs / Cooperatives
(a) Can apply for group sheds, CRCs, reeling units
(5) Landless Individuals
(a) Eligible under group rearing sheds and post-cocoon employment
(6) Youth, Entrepreneurs, Small Industries
(a) Eligible for reeling, twisting, dyeing, and processing units
(7) Documents required:
(a) Aadhaar
(b) Bank account
(c) Land records/lease documents (if available)
(d) Category certificate (if SC/ST)
(e) Photograph
(f) Mobile number",CENTRAL,100% GOI,"District Sericulture Office (DSO), Block Development Office (BDO)"
78,SERICULTURE,SERI-CDP,Catalytic Development Programme (CDP),"CDP provides a wide range of support across the sericulture value chain. Major assistance includes:
(1) Pre-Cocoon (Farm-Level) Support
(a) Mulberry Plantation Establishment
(b) Financial assistance for new plantation, replanting, and maintenance.
(c) Subsidy for saplings, fertilizers, pesticides, labor, soil work, etc.
(2) Irrigation & Water Conservation
(a) Support for drip irrigation, sprinklers, farm ponds, tube wells, check basins.
(3) Rearing House Construction
(a) Assistance to build small, medium, or large rearing houses.
(b) Subsidy ranges from 35% to 100%, depending on model and state.
(4) Rearing Equipment Supply
(a) 75% subsidy for essential tools like racks, trays, sprayers, mountages, etc.
(b) Advanced equipment packages also supported.
(5) Disinfection & Disease Prevention
(a) Subsidy for disinfectant chemicals, tools, and services.
(b) Special franchise model for door-to-door disinfection support.
(6) Chawki Rearing Centers (CRC)
(a) Establishment of new CRCs to supply young silkworms to farmers.
(b) Ensures high success rate of silkworm crops.
(7) Seed Sector Support
(a) Modernization of Grainages
(b) Upgradation of seed production units with better labs and equipment.
(8) Basic Seed Farms Strengthening
(9) Support for genetic labs, climate-controlled infrastructure, and breeding.
(10) Post-Cocoon (Processing) Support
(a) Reeling Units
(b) Assistance to establish automatic and multi-end reeling machines.
(11) Twisting Units
(a) Support for mulberry and vanya silk twisting machinery.
(12) Processing, marketing, and cluster development support.
(13) Training & Capacity Building
(a) Free or low-cost training for farmers and entrepreneurs.
(b) Technical guidance from extension officers and seri-polyclinics.","Eligible Beneficiaries Include:
(1) Mulberry / Tasar / Eri / Muga farmers
(2) Silkworm rearers
(3) Seed producers and grainage owners
(4) Reelers and twisters
(5) Entrepreneurs starting reeling or twisting units
(6) Women SHGs, FPOs, cooperatives
(7) Tribal households and landless families (specific components)
(8) NGOs and private institutions (for CRC/grainage)
Eligibility Conditions:
(1) Basic knowledge of sericulture OR willingness to undergo training.
(2) Minimum land requirement (0.5 acre) for plantation-related components.
(3) Valid land ownership/lease document (not required for equipment-only support).
(4) Not having availed similar subsidy in past 5 years.
(5) Priority for SC/ST, women, youth, BPL families, SHGs and FPOs.",CENTRAL,"50% GOI, 50% UPGOV","District Sericulture Office (DSO), Block Development Office (BDO)"
